premise,hypothesis,gold_label,predicted_label
The data would be presented as required supplementary stewardship information accompanying the consolidated financial statements of the Federal Government but not in individual reports of its component units.,The data would be included in individual reports concerning the constituent units of the federal government.,contradiction,entailment
The Department of Labor's interim rule is adopted pursuant to the authority contained in Section 707 of the Employee Retirement Income Security Act (Pub.,The Department of Labor's interim rule is adopted pursuant to the authority contained in Section 707.,entailment,entailment
"I have to tell you, I tried to understand it.",I have figured it out.,neutral,neutral
The purpose of this paper is to analyze rural delivery costs and compare them with city delivery costs.,They looked at the costs for rural delivery.,entailment,contradiction
And these are tough times for reviewers in general.,"Reviewers, as a class, are struggling at the moment.",entailment,entailment
"If you have any questions regarding this report, please call me at (202) 512-4841.",My phone number is  (202) 412-4841.,contradiction,contradiction
"More than half of 800,000 native islanders are children, and the mother is traditionally responsible for bringing them up, handling the money, and making key domestic decisions.",The mother is responsible for the raising of the native islander children.,entailment,entailment
"'Don't worry,' he whispered.",He was freaked out.,contradiction,neutral
"The Saver-Spender Theory of Fiscal Policy, Working Paper 7571.",The paper was number 1738.,contradiction,contradiction
This usage points to yadda yadda yadda 's larger social  It suggests that an ever-larger percentage of the content of everyday communication can be correctly anticipated--probably owing in part to the sheer repetition of words and arguments in the various public media.,It says a smaller percentage of the content of communication can be expected.,contradiction,contradiction
"Yes, it does, admitted Tuppence.","Tuppence admitted that no, it didn't.",contradiction,contradiction
With him was the evil-looking Number 14.,Number 14 was with him.,entailment,entailment
"Massive tidal waves swept over Crete, and other parts of the Mediterranean, smashing buildings and drowning many thousands of people.",Thousands of people drowned when tidal waves swept the island.,entailment,neutral
"If the company makes money on the policy, other insurers are expected to follow.","If Geico makes a profit on their new renters policy, other companies will likely follow their lead. ",neutral,entailment
"Others love to see it in the middle of the heaviest monsoon, its marble translucent, its image blurred in the rain-stippled water channels of its gardens.",Some people love to visit during the heaviest monsoon.,entailment,entailment
Based on field observations and some discussions with U.S.,The field observations may have been faulty. ,neutral,neutral
"Don't mean the police, but the people that are right in it. ",The people were wrong.,contradiction,contradiction
This popular show spawned the aquatic show at the Bellagio.,Bellagio's water display is now just as well liked as this popular show.,neutral,neutral
"The governing statute provides that a committee consisting of the Comptroller General, the Speaker of the House and President Pro Tempore of the Senate, the Majority and Minority leaders, and the Chairmen and Ranking Minority Members of the Senate Governmental Affairs and House Government Reform Committees recommend an individual to the President for appointment.",The governing statute has considerations that have to be followed.,entailment,neutral
